State,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Policy Type,Policy,Renew Offer Type,Total Claim Amount,Vehicle Class,Vehicle Size,Customer Lifetime Value
Arizona,Basic,College,2/28/2011,Employed,F,50632,Rural,Married,62,26,42,1,Corporate Auto,Corporate L2,Offer3,54.961039,Two-Door Car,Medsize,2483.642397
California,Extended,High School or Below,2/4/2011,Unemployed,F,0,Suburban,Single,139,5,29,1,Personal Auto,Personal L2,Offer2,1000.8,SUV,Medsize,4896.261605
Oregon,Basic,High School or Below,1/26/2011,Employed,M,97917,Urban,Single,67,14,32,3,Personal Auto,Personal L2,Offer4,279.184512,Two-Door Car,Medsize,4928.001408
Arizona,Basic,College,1/5/2011,Medical Leave,M,28280,Suburban,Married,116,7,55,9,Personal Auto,Personal L3,Offer2,556.8,Sports Car,Medsize,8759.592518
California,Extended,High School or Below,2/15/2011,Employed,F,86195,Urban,Married,139,12,10,3,Special Auto,Special L2,Offer1,601.667902,SUV,Medsize,11281.52451
Nevada,Basic,Master,1/25/2011,Employed,F,89797,Rural,Married,106,19,8,1,Personal Auto,Personal L3,Offer2,70.958361,SUV,Small,4315.6705
Arizona,Basic,College,1/23/2011,Unemployed,M,0,Suburban,Married,63,16,5,5,Personal Auto,Personal L3,Offer2,302.4,Four-Door Car,Medsize,4491.909095
Nevada,Basic,High School or Below,2/4/2011,Unemployed,M,0,Suburban,Single,192,1,27,1,Personal Auto,Personal L3,Offer2,1921.248929,Luxury SUV,Large,6745.248379
California,Extended,College,2/11/2011,Employed,M,33635,Suburban,Married,240,1,23,2,Personal Auto,Personal L3,Offer1,1152,Luxury SUV,Medsize,28799.95415
Oregon,Basic,Bachelor,1/31/2011,Medical Leave,M,29790,Suburban,Married,194,25,49,3,Personal Auto,Personal L2,Offer1,931.2,Luxury SUV,Medsize,14503.02129
Arizona,Basic,High School or Below,1/9/2011,Employed,M,44656,Suburban,Married,70,2,80,2,Personal Auto,Personal L2,Offer2,336,Two-Door Car,Medsize,8270.625331
Arizona,Basic,Doctor,1/14/2011,Employed,M,40870,Suburban,Married,105,3,56,2,Personal Auto,Personal L2,Offer1,504,SUV,Large,12731.95161
California,Basic,College,2/13/2011,Unemployed,M,0,Rural,Married,117,8,64,1,Corporate Auto,Corporate L3,Offer3,94.94292,Sports Car,Medsize,4167.094538
California,Extended,High School or Below,2/3/2011,Employed,F,28363,Suburban,Divorced,133,0,35,3,Personal Auto,Personal L3,Offer1,638.4,Sports Car,Medsize,10455.48983
California,Extended,Bachelor,2/28/2011,Employed,F,94508,Suburban,Married,88,27,54,3,Personal Auto,Personal L3,Offer4,491.384479,Four-Door Car,Medsize,7074.398104
Oregon,Basic,High School or Below,1/3/2011,Unemployed,M,0,Suburban,Married,64,24,73,2,Personal Auto,Personal L2,Offer1,324.695555,Four-Door Car,Large,7046.478698
Oregon,Extended,Doctor,2/2/2011,Unemployed,M,0,Suburban,Divorced,124,13,1,2,Personal Auto,Personal L3,Offer3,696.034509,SUV,Medsize,13357.44544
Arizona,Extended,College,2/4/2011,Unemployed,M,0,Suburban,Single,77,10,36,2,Personal Auto,Personal L3,Offer1,554.4,Four-Door Car,Small,18708.75831
California,Basic,Bachelor,1/22/2011,Unemployed,F,0,Suburban,Single,116,10,99,3,Corporate Auto,Corporate L3,Offer1,835.2,Sports Car,Medsize,8169.334846
Oregon,Premium,High School or Below,1/21/2011,Disabled,F,18017,Suburban,Divorced,114,23,54,9,Personal Auto,Personal L3,Offer2,547.2,Four-Door Car,Medsize,8583.272854
Washington,Basic,High School or Below,2/28/2011,Unemployed,F,0,Suburban,Single,117,15,68,2,Personal Auto,Personal L2,Offer2,930.594707,SUV,Medsize,12234.36232
Nevada,Extended,High School or Below,1/17/2011,Employed,M,63741,Rural,Single,91,25,15,6,Corporate Auto,Corporate L1,Offer3,36.980596,Four-Door Car,Medsize,7185.673718
Oregon,Basic,High School or Below,1/18/2011,Employed,F,57078,Suburban,Married,113,26,13,8,Personal Auto,Personal L3,Offer1,542.4,Sports Car,Large,9060.204521
Oregon,Basic,High School or Below,2/28/2011,Unemployed,F,0,Suburban,Single,67,21,28,1,Special Auto,Special L3,Offer2,458.661381,Four-Door Car,Medsize,2336.177331
Oregon,Basic,Bachelor,1/31/2011,Employed,F,25239,Rural,Divorced,100,30,59,7,Personal Auto,Personal L3,Offer3,150.96491,SUV,Medsize,7995.41091
Oregon,Basic,High School or Below,1/17/2011,Employed,F,29227,Suburban,Married,74,0,83,7,Special Auto,Special L3,Offer1,421.19002,Two-Door Car,Medsize,5897.555427
California,Extended,Bachelor,1/28/2011,Employed,F,60021,Suburban,Married,99,12,28,1,Special Auto,Special L2,Offer2,882.871945,Four-Door Car,Small,3939.00637
Oregon,Basic,Bachelor,2/25/2011,Unemployed,F,0,Suburban,Single,73,23,59,1,Personal Auto,Personal L3,Offer1,780.57363,Four-Door Car,Small,2695.352444
Nevada,Basic,High School or Below,2/22/2011,Employed,M,83208,Urban,Married,68,10,93,4,Special Auto,Special L2,Offer2,325.866271,Four-Door Car,Small,5459.216794
Oregon,Extended,Bachelor,2/10/2011,Employed,F,25983,Suburban,Married,90,32,43,2,Corporate Auto,Corporate L2,Offer2,432,Four-Door Car,Small,10721.61076
Oregon,Basic,High School or Below,2/12/2011,Medical Leave,F,25965,Suburban,Divorced,65,23,27,1,Corporate Auto,Corporate L3,Offer1,329.206567,Four-Door Car,Medsize,2491.257604
Arizona,Basic,College,1/11/2011,Disabled,F,22679,Suburban,Married,72,25,32,4,Personal Auto,Personal L3,Offer1,345.6,Two-Door Car,Small,5570.17755
Arizona,Basic,High School or Below,2/12/2011,Employed,M,41186,Urban,Single,70,15,29,3,Personal Auto,Personal L3,Offer1,242.320409,Four-Door Car,Medsize,5100.737803
California,Basic,High School or Below,1/22/2011,Unemployed,F,0,Suburban,Divorced,67,7,4,2,Personal Auto,Personal L3,Offer2,445.702958,Four-Door Car,Medsize,7633.821822
California,Basic,College,1/31/2011,Employed,M,29070,Suburban,Married,61,8,99,3,Personal Auto,Personal L2,Offer3,292.8,Two-Door Car,Small,4656.665064
Nevada,Basic,Bachelor,1/31/2011,Unemployed,F,0,Suburban,Single,63,13,49,7,Personal Auto,Personal L3,Offer1,302.4,Four-Door Car,Small,4363.1982
California,Basic,College,2/4/2011,Employed,F,33485,Suburban,Married,63,6,41,1,Personal Auto,Personal L3,Offer4,343.705799,Four-Door Car,Medsize,2526.729022
Washington,Basic,High School or Below,1/17/2011,Employed,F,58206,Suburban,Married,64,2,56,3,Personal Auto,Personal L2,Offer3,454.188803,Four-Door Car,Small,5122.718927
Oregon,Basic,High School or Below,2/26/2011,Employed,M,87492,Urban,Married,62,15,69,1,Personal Auto,Personal L2,Offer3,264.461805,Two-Door Car,Medsize,2483.544888
Oregon,Extended,Bachelor,2/20/2011,Unemployed,M,0,Suburban,Married,98,29,37,1,Personal Auto,Personal L3,Offer2,705.6,Four-Door Car,Small,3489.276369
Nevada,Premium,Bachelor,1/18/2011,Employed,M,20757,Rural,Single,102,6,74,9,Corporate Auto,Corporate L3,Offer1,216.4268,Four-Door Car,Medsize,7325.917302
Oregon,Basic,College,2/5/2011,Employed,F,23449,Suburban,Married,61,33,2,8,Corporate Auto,Corporate L3,Offer2,292.8,Four-Door Car,Medsize,4841.057535
Arizona,Basic,College,2/5/2011,Unemployed,M,0,Suburban,Single,192,35,34,2,Personal Auto,Personal L2,Offer1,921.6,Luxury SUV,Small,19964.39708
Nevada,Basic,College,2/10/2011,Employed,F,60455,Suburban,Single,104,20,25,2,Personal Auto,Personal L1,Offer4,499.2,SUV,Medsize,32450.39142
Washington,Extended,High School or Below,2/9/2011,Unemployed,M,0,Suburban,Single,89,12,73,1,Personal Auto,Personal L3,Offer1,640.8,Four-Door Car,Small,2628.171324
California,Extended,High School or Below,1/15/2011,Employed,M,53588,Suburban,Married,77,10,71,1,Personal Auto,Personal L3,Offer2,369.6,Four-Door Car,Medsize,3095.627124
California,Basic,Doctor,1/14/2011,Employed,M,40870,Suburban,Married,105,3,56,2,Corporate Auto,Corporate L3,Offer1,504,SUV,Large,12731.95161
Arizona,Basic,Bachelor,1/8/2011,Unemployed,M,0,Suburban,Married,71,11,68,1,Personal Auto,Personal L3,Offer2,340.8,Two-Door Car,Large,2631.564135
Nevada,Extended,High School or Below,2/1/2011,Unemployed,F,0,Suburban,Single,129,2,69,2,Corporate Auto,Corporate L2,Offer1,1267.549091,Sports Car,Medsize,35984.10457
Washington,Basic,High School or Below,1/17/2011,Employed,F,45128,Rural,Married,72,13,34,1,Special Auto,Special L2,Offer4,66.667784,Four-Door Car,Medsize,2906.893312
California,Extended,Bachelor,2/18/2011,Employed,M,90874,Urban,Married,137,18,28,3,Personal Auto,Personal L3,Offer1,459.785009,SUV,Medsize,10628.06415
Arizona,Extended,High School or Below,1/9/2011,Employed,F,52823,Rural,Married,95,7,15,5,Personal Auto,Personal L3,Offer2,125.768818,Two-Door Car,Medsize,7590.961288
California,Basic,College,1/9/2011,Disabled,M,26784,Suburban,Married,67,14,82,8,Corporate Auto,Corporate L3,Offer3,482.4,Four-Door Car,Small,5108.038755
Oregon,Basic,College,2/13/2011,Employed,M,22354,Suburban,Married,118,27,9,2,Personal Auto,Personal L1,Offer1,775.526054,SUV,Small,13989.84697
Oregon,Extended,College,1/5/2011,Employed,M,54420,Suburban,Single,80,27,0,1,Personal Auto,Personal L1,Offer2,576,Four-Door Car,Medsize,3115.704933
Oregon,Basic,College,2/9/2011,Employed,F,50800,Suburban,Married,112,1,45,2,Corporate Auto,Corporate L2,Offer1,621.218119,Sports Car,Medsize,13369.44267
Oregon,Extended,College,2/24/2011,Unemployed,F,0,Suburban,Single,87,12,12,2,Personal Auto,Personal L3,Offer1,417.6,Four-Door Car,Medsize,8621.185568
Arizona,Basic,College,2/12/2011,Employed,M,84583,Urban,Married,65,6,50,2,Corporate Auto,Corporate L1,Offer2,238.868659,Four-Door Car,Small,10359.01985
Nevada,Extended,Bachelor,1/1/2011,Employed,M,33701,Suburban,Single,88,14,22,1,Personal Auto,Personal L3,Offer1,460.815578,Four-Door Car,Medsize,3241.838403
California,Basic,Bachelor,1/22/2011,Unemployed,F,0,Suburban,Single,63,21,27,4,Corporate Auto,Corporate L1,Offer3,462.63613,Four-Door Car,Small,4344.99018
Arizona,Basic,Doctor,2/22/2011,Employed,F,68931,Urban,Married,66,32,30,7,Corporate Auto,Corporate L3,Offer2,309.577946,Four-Door Car,Medsize,5332.462694
Oregon,Premium,College,2/19/2011,Unemployed,M,0,Suburban,Married,105,1,37,4,Personal Auto,Personal L1,Offer4,504,Four-Door Car,Medsize,7692.456014
Arizona,Basic,High School or Below,1/7/2011,Unemployed,M,0,Suburban,Single,115,22,15,2,Corporate Auto,Corporate L3,Offer1,828,SUV,Medsize,26223.81193
Arizona,Premium,College,2/11/2011,Employed,M,29318,Suburban,Single,198,29,96,1,Personal Auto,Personal L3,Offer2,1386.824722,SUV,Medsize,6930.625422
Oregon,Basic,College,1/1/2011,Employed,F,41503,Rural,Married,73,28,69,2,Personal Auto,Personal L3,Offer1,15.001594,Two-Door Car,Small,11610.25439
Oregon,Extended,High School or Below,1/4/2011,Unemployed,M,0,Suburban,Married,126,16,69,8,Personal Auto,Personal L2,Offer1,604.8,SUV,Small,8937.118615
California,Basic,Bachelor,2/25/2011,Unemployed,F,0,Suburban,Divorced,69,9,68,1,Personal Auto,Personal L1,Offer1,427.25055,Two-Door Car,Small,2462.859762
Oregon,Basic,Bachelor,1/15/2011,Retired,M,25905,Suburban,Divorced,63,21,12,1,Personal Auto,Personal L3,Offer1,302.4,Four-Door Car,Large,2300.691547
Oregon,Basic,College,1/7/2011,Unemployed,F,0,Suburban,Single,116,18,86,1,Personal Auto,Personal L1,Offer1,835.2,Sports Car,Medsize,4078.023331
Nevada,Basic,College,1/30/2011,Employed,F,40046,Rural,Divorced,73,10,51,1,Personal Auto,Personal L2,Offer1,118.509791,Four-Door Car,Small,2868.598866
California,Basic,High School or Below,1/29/2011,Employed,F,58577,Urban,Married,110,6,62,1,Personal Auto,Personal L3,Offer1,303.872752,SUV,Medsize,4428.031583
California,Premium,Bachelor,1/13/2011,Employed,M,70129,Rural,Married,103,24,57,1,Personal Auto,Personal L2,Offer1,130.495798,Four-Door Car,Medsize,4061.590219
Nevada,Extended,Master,2/2/2011,Employed,M,91268,Urban,Married,229,32,62,5,Corporate Auto,Corporate L2,Offer2,737.737825,Luxury Car,Small,18504.2801
California,Extended,College,2/14/2011,Retired,F,12902,Suburban,Divorced,139,3,51,1,Personal Auto,Personal L3,Offer1,667.2,Sports Car,Medsize,4904.894731
Oregon,Extended,High School or Below,2/28/2011,Employed,F,62053,Urban,Married,134,3,89,5,Personal Auto,Personal L3,Offer1,614.03209,SUV,Medsize,10827.87278
Nevada,Basic,Bachelor,2/1/2011,Employed,F,30389,Urban,Married,73,34,66,4,Personal Auto,Personal L1,Offer2,278.932051,Four-Door Car,Medsize,5745.121547
Nevada,Basic,Bachelor,1/29/2011,Medical Leave,M,15585,Rural,Married,65,22,24,1,Personal Auto,Personal L3,Offer1,67.618365,Two-Door Car,Medsize,2423.259778
Arizona,Extended,College,1/25/2011,Retired,M,23091,Suburban,Married,96,28,90,5,Personal Auto,Personal L3,Offer1,460.8,Four-Door Car,Medsize,5926.729379
California,Basic,College,1/28/2011,Medical Leave,F,22571,Suburban,Single,63,29,51,9,Personal Auto,Personal L3,Offer2,302.4,Four-Door Car,Large,4605.036646
Oregon,Basic,High School or Below,1/17/2011,Unemployed,M,0,Suburban,Single,61,0,62,1,Personal Auto,Personal L3,Offer1,691.677138,Four-Door Car,Small,2132.771675
Oregon,Extended,College,2/4/2011,Unemployed,F,0,Suburban,Single,82,14,56,1,Personal Auto,Personal L3,Offer1,393.6,Two-Door Car,Medsize,2643.71574
California,Basic,College,2/20/2011,Employed,M,73976,Urban,Divorced,73,27,84,3,Personal Auto,Personal L2,Offer2,338.529369,Four-Door Car,Medsize,5824.224192
Oregon,Extended,Bachelor,2/17/2011,Employed,F,30814,Suburban,Married,87,8,96,3,Personal Auto,Personal L1,Offer2,417.6,Four-Door Car,Medsize,6889.6161
Arizona,Basic,Bachelor,1/17/2011,Employed,F,80681,Suburban,Married,74,31,12,1,Corporate Auto,Corporate L3,Offer2,355.2,Four-Door Car,Medsize,3008.099115
Oregon,Extended,High School or Below,2/7/2011,Employed,F,60934,Suburban,Married,82,15,64,1,Personal Auto,Personal L3,Offer2,393.6,Two-Door Car,Large,3286.171949
Oregon,Basic,High School or Below,2/5/2011,Unemployed,M,0,Suburban,Single,62,19,3,2,Corporate Auto,Corporate L1,Offer4,446.4,Two-Door Car,Medsize,13552.77776
California,Basic,College,2/1/2011,Employed,F,80797,Urban,Married,64,21,47,9,Personal Auto,Personal L1,Offer2,300.940297,Four-Door Car,Small,5166.190278
Oregon,Basic,College,2/28/2011,Employed,M,89410,Rural,Divorced,74,11,50,1,Personal Auto,Personal L2,Offer2,95.997363,Four-Door Car,Medsize,2945.998877
Nevada,Extended,Bachelor,2/4/2011,Employed,M,52728,Suburban,Divorced,127,34,34,1,Corporate Auto,Corporate L3,Offer1,609.6,SUV,Medsize,4863.470811
Nevada,Basic,Bachelor,1/15/2011,Employed,F,43199,Suburban,Married,61,23,31,3,Personal Auto,Personal L3,Offer4,334.007478,Four-Door Car,Medsize,4892.617128
Arizona,Extended,Bachelor,1/13/2011,Employed,F,43510,Urban,Married,83,8,75,1,Personal Auto,Personal L3,Offer3,238.088581,Four-Door Car,Medsize,3337.59441
Washington,Basic,Bachelor,1/21/2011,Employed,F,28909,Suburban,Married,66,15,66,8,Personal Auto,Personal L3,Offer1,456.702735,Two-Door Car,Medsize,5246.278375
Oregon,Extended,Master,2/23/2011,Unemployed,F,0,Suburban,Single,122,15,47,9,Personal Auto,Personal L2,Offer1,650.52179,Sports Car,Medsize,9031.214859
Oregon,Extended,Bachelor,1/29/2011,Employed,F,71176,Urban,Married,91,3,62,1,Personal Auto,Personal L2,Offer2,278.072755,Two-Door Car,Medsize,3580.076125
California,Extended,Bachelor,1/7/2011,Employed,M,84429,Rural,Married,123,11,2,6,Personal Auto,Personal L2,Offer2,115.07234,SUV,Medsize,9802.548509
California,Basic,Bachelor,2/23/2011,Employed,M,61613,Rural,Married,61,6,20,9,Special Auto,Special L3,Offer1,40.562432,Four-Door Car,Medsize,4825.651946
California,Extended,Master,2/23/2011,Employed,M,68370,Urban,Married,80,0,45,1,Personal Auto,Personal L2,Offer3,244.158446,Four-Door Car,Medsize,3203.303695
California,Basic,College,2/9/2011,Employed,F,52389,Suburban,Married,72,29,8,9,Personal Auto,Personal L3,Offer1,345.6,Four-Door Car,Medsize,5659.139938
Oregon,Basic,High School or Below,1/18/2011,Employed,F,64478,Rural,Married,103,30,92,1,Personal Auto,Personal L3,Offer2,8.281829,SUV,Medsize,4144.868939
Washington,Premium,High School or Below,2/1/2011,Employed,F,59207,Suburban,Single,116,23,21,2,Personal Auto,Personal L2,Offer1,556.8,Four-Door Car,Medsize,13770.97618
Nevada,Extended,High School or Below,2/8/2011,Medical Leave,F,17162,Suburban,Married,96,15,29,1,Corporate Auto,Corporate L2,Offer2,460.8,Four-Door Car,Small,3716.479655
Nevada,Basic,Bachelor,2/19/2011,Unemployed,M,0,Suburban,Married,101,1,83,1,Personal Auto,Personal L3,Offer1,960.115399,SUV,Large,3123.080994
California,Basic,Bachelor,2/5/2011,Retired,M,14973,Suburban,Divorced,115,2,75,2,Personal Auto,Personal L2,Offer1,828,SUV,Medsize,12168.74492
California,Basic,College,2/15/2011,Employed,M,56342,Suburban,Single,69,12,89,1,Special Auto,Special L3,Offer2,331.2,Four-Door Car,Small,2674.730716
Oregon,Basic,Bachelor,1/7/2011,Employed,F,73054,Urban,Married,106,34,36,2,Personal Auto,Personal L3,Offer1,419.365958,SUV,Medsize,12741.84754
Nevada,Premium,Bachelor,1/2/2011,Medical Leave,M,21586,Suburban,Married,106,6,5,1,Personal Auto,Personal L3,Offer1,1056.291709,Two-Door Car,Small,4037.547258
Oregon,Basic,High School or Below,1/13/2011,Unemployed,F,0,Suburban,Single,117,11,63,5,Special Auto,Special L2,Offer2,842.4,SUV,Medsize,8628.303301
Oregon,Premium,High School or Below,1/12/2011,Employed,F,24193,Urban,Married,185,26,79,2,Personal Auto,Personal L3,Offer1,785.367947,Sports Car,Medsize,22093.61618
Oregon,Basic,College,1/19/2011,Employed,F,84815,Urban,Married,68,9,37,2,Personal Auto,Personal L1,Offer1,279.996658,Four-Door Car,Medsize,8217.427595
Oregon,Basic,High School or Below,1/15/2011,Disabled,F,18495,Suburban,Married,113,10,15,2,Corporate Auto,Corporate L3,Offer1,542.4,SUV,Large,26197.41498
California,Basic,Bachelor,2/11/2011,Employed,M,36554,Suburban,Married,70,6,62,2,Personal Auto,Personal L2,Offer4,433.38842,Two-Door Car,Small,8110.536059
Oregon,Basic,Bachelor,2/21/2011,Unemployed,F,0,Suburban,Single,68,3,36,9,Personal Auto,Personal L2,Offer1,656.959783,Four-Door Car,Medsize,4766.367352
Oregon,Basic,High School or Below,1/10/2011,Employed,M,99845,Suburban,Married,110,23,25,8,Corporate Auto,Corporate L2,Offer2,528,SUV,Medsize,8819.018934
California,Basic,College,1/16/2011,Unemployed,F,0,Suburban,Married,69,13,90,3,Corporate Auto,Corporate L2,Offer1,344.469652,Two-Door Car,Medsize,5171.272924
California,Basic,Bachelor,1/21/2011,Medical Leave,M,10853,Urban,Married,104,11,18,1,Corporate Auto,Corporate L3,Offer2,350.306385,SUV,Small,3896.572719
California,Extended,Master,2/8/2011,Medical Leave,F,23749,Rural,Married,77,20,6,4,Personal Auto,Personal L2,Offer1,151.550875,Four-Door Car,Medsize,6005.027312
Oregon,Basic,College,2/19/2011,Unemployed,F,0,Suburban,Single,69,18,71,2,Corporate Auto,Corporate L2,Offer2,331.2,Four-Door Car,Medsize,6869.185344
California,Extended,Bachelor,2/25/2011,Unemployed,M,0,Suburban,Single,88,29,19,1,Personal Auto,Personal L1,Offer2,422.4,Four-Door Car,Small,3054.541283
Oregon,Basic,College,2/9/2011,Employed,M,92783,Rural,Married,61,1,47,6,Personal Auto,Personal L1,Offer2,6.671268,Two-Door Car,Medsize,4874.216555
Arizona,Basic,Doctor,1/12/2011,Employed,F,83502,Suburban,Married,68,25,36,1,Personal Auto,Personal L3,Offer2,368.963633,Four-Door Car,Medsize,2747.429661
Oregon,Basic,College,2/14/2011,Employed,M,83846,Suburban,Married,74,22,94,2,Personal Auto,Personal L1,Offer2,355.2,Four-Door Car,Large,8717.049833
Oregon,Basic,High School or Below,2/9/2011,Medical Leave,F,18606,Suburban,Married,110,12,45,1,Personal Auto,Personal L3,Offer3,568.844905,SUV,Medsize,4099.659085
Arizona,Basic,Doctor,2/25/2011,Employed,M,72191,Urban,Married,68,19,48,2,Personal Auto,Personal L3,Offer3,209.387509,Four-Door Car,Medsize,8189.967712
Oregon,Basic,College,2/9/2011,Employed,M,57733,Suburban,Married,66,24,66,5,Personal Auto,Personal L2,Offer4,393.528054,Two-Door Car,Medsize,5225.03143
Arizona,Extended,Doctor,1/6/2011,Employed,M,63688,Suburban,Married,99,28,93,6,Personal Auto,Personal L2,Offer2,475.2,Four-Door Car,Medsize,7949.28426
California,Extended,College,1/3/2011,Employed,F,55855,Urban,Married,79,10,71,1,Personal Auto,Personal L2,Offer4,272.9955,Four-Door Car,Medsize,3135.405606
Oregon,Extended,Bachelor,1/28/2011,Employed,F,60021,Suburban,Married,99,12,28,1,Special Auto,Special L1,Offer2,882.871945,Four-Door Car,Small,3939.00637
Arizona,Basic,High School or Below,2/21/2011,Unemployed,M,0,Suburban,Married,73,17,44,7,Corporate Auto,Corporate L1,Offer2,496.474767,Two-Door Car,Medsize,5325.724541
California,Extended,High School or Below,2/2/2011,Employed,M,74300,Urban,Married,122,23,38,2,Personal Auto,Personal L3,Offer2,354.55391,SUV,Medsize,19483.24011
Washington,Extended,Bachelor,1/7/2011,Unemployed,M,0,Suburban,Married,96,6,8,1,Corporate Auto,Corporate L3,Offer3,460.8,Four-Door Car,Medsize,3459.230941
Oregon,Basic,High School or Below,1/28/2011,Employed,F,51747,Suburban,Married,71,8,71,2,Personal Auto,Personal L3,Offer2,340.8,Four-Door Car,Medsize,17103.79173
Arizona,Basic,High School or Below,1/7/2011,Employed,F,28887,Suburban,Single,73,16,15,1,Personal Auto,Personal L2,Offer1,425.81795,Four-Door Car,Medsize,2753.312714
Arizona,Basic,High School or Below,2/8/2011,Unemployed,M,0,Suburban,Single,189,24,93,6,Personal Auto,Personal L3,Offer1,1415.579302,Luxury Car,Small,12866.89474
Nevada,Basic,Bachelor,1/28/2011,Unemployed,F,0,Suburban,Single,68,0,93,5,Personal Auto,Personal L3,Offer2,546.420009,Four-Door Car,Large,4420.248983
Nevada,Basic,High School or Below,1/27/2011,Employed,M,43540,Rural,Married,70,29,60,1,Corporate Auto,Corporate L3,Offer2,117.585017,Two-Door Car,Medsize,2756.472584
Nevada,Basic,Bachelor,1/25/2011,Employed,F,96961,Rural,Married,64,24,99,2,Corporate Auto,Corporate L3,Offer4,81.377259,Two-Door Car,Medsize,7743.918426
Arizona,Basic,College,1/26/2011,Employed,F,32799,Suburban,Divorced,104,7,27,3,Personal Auto,Personal L2,Offer1,499.2,SUV,Medsize,8169.746083
Nevada,Basic,Bachelor,2/27/2011,Unemployed,F,0,Suburban,Single,101,12,38,1,Personal Auto,Personal L3,Offer1,1201.085226,SUV,Small,3569.864625
California,Extended,Bachelor,2/27/2011,Employed,F,72540,Suburban,Married,88,7,3,2,Personal Auto,Personal L2,Offer2,631.743039,Two-Door Car,Medsize,10656.88195
California,Premium,Master,1/14/2011,Employed,M,35173,Rural,Married,180,24,9,1,Personal Auto,Personal L2,Offer1,415.331869,Sports Car,Medsize,7092.635635
Washington,Basic,High School or Below,2/1/2011,Employed,F,65431,Suburban,Married,69,7,90,1,Personal Auto,Personal L2,Offer4,331.2,Four-Door Car,Medsize,2777.341885
Arizona,Basic,High School or Below,1/15/2011,Unemployed,F,0,Suburban,Married,100,20,48,6,Corporate Auto,Corporate L3,Offer1,480,SUV,Small,7550.41865
Washington,Basic,Bachelor,1/3/2011,Unemployed,M,0,Suburban,Single,72,23,7,3,Personal Auto,Personal L2,Offer2,345.6,Four-Door Car,Medsize,4727.354548
Arizona,Extended,High School or Below,2/2/2011,Unemployed,M,0,Suburban,Single,84,35,42,2,Personal Auto,Personal L1,Offer4,604.8,Four-Door Car,Medsize,14274.55485
California,Extended,High School or Below,1/24/2011,Employed,F,40672,Suburban,Divorced,121,28,99,3,Corporate Auto,Corporate L3,Offer1,580.8,SUV,Medsize,9559.340024
California,Basic,High School or Below,2/3/2011,Employed,F,52583,Urban,Single,113,12,59,7,Personal Auto,Personal L3,Offer1,528.20086,SUV,Small,8879.790017
Arizona,Basic,College,2/1/2011,Employed,F,64816,Suburban,Married,69,30,33,7,Corporate Auto,Corporate L2,Offer3,331.2,Four-Door Car,Small,5525.470004
California,Basic,Bachelor,2/20/2011,Employed,F,36685,Suburban,Married,74,15,25,5,Corporate Auto,Corporate L1,Offer1,355.2,Four-Door Car,Medsize,5923.208
Oregon,Extended,High School or Below,1/31/2011,Unemployed,M,0,Suburban,Single,136,20,98,6,Personal Auto,Personal L2,Offer1,979.2,Sports Car,Medsize,8501.652884
California,Extended,Master,1/13/2011,Employed,F,77143,Rural,Married,125,5,49,2,Personal Auto,Personal L3,Offer1,176.006384,SUV,Small,40235.9731
Arizona,Basic,Master,2/23/2011,Employed,M,60942,Urban,Married,64,11,56,1,Special Auto,Special L1,Offer2,288.205261,Two-Door Car,Large,2584.824329
Arizona,Basic,High School or Below,1/5/2011,Unemployed,F,0,Suburban,Single,61,12,77,2,Personal Auto,Personal L3,Offer3,366.604732,Two-Door Car,Medsize,19278.81715
Oregon,Basic,Master,1/20/2011,Retired,F,21514,Urban,Married,62,0,59,2,Personal Auto,Personal L2,Offer1,257.248789,Two-Door Car,Medsize,11981.98481
Washington,Basic,High School or Below,1/23/2011,Employed,M,25927,Suburban,Single,103,6,20,1,Personal Auto,Personal L3,Offer2,674.973614,SUV,Medsize,3933.813993
Oregon,Basic,High School or Below,2/12/2011,Medical Leave,F,25965,Suburban,Divorced,65,23,27,1,Personal Auto,Personal L3,Offer1,329.206567,Four-Door Car,Medsize,2491.257604
Arizona,Extended,Bachelor,1/15/2011,Employed,F,27688,Suburban,Married,92,8,86,9,Personal Auto,Personal L3,Offer1,572.352362,Four-Door Car,Small,7431.664369
Oregon,Extended,High School or Below,1/23/2011,Employed,F,75490,Rural,Married,97,33,20,7,Corporate Auto,Corporate L3,Offer2,43.084332,Four-Door Car,Medsize,7865.182898
Oregon,Extended,Bachelor,1/15/2011,Employed,F,33871,Suburban,Single,136,2,23,2,Personal Auto,Personal L3,Offer1,933.624655,SUV,Medsize,15978.91049
Nevada,Basic,College,2/25/2011,Unemployed,F,0,Suburban,Single,65,27,37,1,Personal Auto,Personal L1,Offer3,468,Four-Door Car,Small,2113.85703
California,Basic,College,1/19/2011,Employed,M,85470,Suburban,Single,109,23,31,6,Personal Auto,Personal L2,Offer1,523.2,SUV,Medsize,8661.735884
Washington,Basic,College,2/28/2011,Employed,M,97095,Urban,Married,70,4,8,5,Personal Auto,Personal L1,Offer4,208.035411,Four-Door Car,Large,5625.307768
Washington,Basic,College,2/13/2011,Employed,F,73604,Rural,Married,114,15,89,1,Personal Auto,Personal L2,Offer1,184.222768,SUV,Medsize,4592.150374
